Common Fish Name,Temperament,Grows To,Starting Tank Size,Typical Color,CB's Recommended Fish Food,Fish Care Notes,Temperature Range,Water PH,Water KH,Origin,Plant Safety,Scientific Name,QR,SKU
Cichlid Arowana Jardini (Small),Aggressive/predatory as it matures,"24-30"" (large adult)",55 Gallon,Bronze/olive with pearlescent scale edges,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Large predatory fish; needs secure lid and a big tank long-term; feed appropriately sized carnivorous diet,75-86°F,6.5-7.5,3-10 dKH,"Australia, New Guinea",Mostly safe (large adults may uproot),Scleropages jardinii,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Arowana Jardini (Small).html,CI10
Cichlid Clown Knife,Aggressive,"36""",200 Gallon,Dusky silver-grey with a neat row of large black eye-spots,"Omnivore. Hikari Freeze Dried Krill, Kikari Frozen Krill, Sear Arowana Pellets, Hikari Food Sticks","Large, nocturnal predator growing to 3 feet or more. Will eat smaller fish. Needs 200 or more gallon tank. May uproot plants; robust plants like Java fern can be used.",77-82°F,6.8-7.6,4-10 dKH,Southeast Asia,Caution,Chitala ornata,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Clown Knife.html,CI12
Cichlid Electric Blue Acara,Peaceful,"6""",29 Gallon,Brilliant glittering metallic powder blue with neon orange fin tips,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Mild-mannered cichlid; one of the most community-friendly cichlids. Excellent in planted tanks. Peaceful with most similarly sized fish.,77-85°F,7.0-7.6,4-12 dKH,South America / Trinidad,Safe,Andinoacara pulcher,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Electric Blue Acara.html,CI13
Cichlid Electric Blue Dempsey (Large),"Semi-aggressive to aggressive, territorial","8-10""",55 Gallon,Vivid electric blue overall,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Territorial; best kept singly or as a bonded pair with rock caves and robust filtration,75-82°F,6.5-7.5,5-15 dKH,Captive-bred color morph (wild type from Central America),Not safe (digs/uproots),"Rocio octofasciata ""Electric Blue""",https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Electric Blue Dempsey (Large).html,CI16
Cichlid Electric Blue Dempsey (Small),"Semi-aggressive to aggressive, territorial","8-10"" at maturity",55 Gallon,Vivid electric blue overall,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Juvenile form of a territorial cichlid; will need more space and rock caves as it grows,75-82°F,6.5-7.5,5-15 dKH,Captive-bred color morph (wild type from Central America),Not safe (digs/uproots),"Rocio octofasciata ""Electric Blue""",https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Electric Blue Dempsey (Small).html,CI14
Cichlid Festivum,Peaceful,"6""",29 Gallon,Silver-green with a bold black diagonal stripe from mouth to fin,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Peaceful South American cichlid. Good community fish; pairs well with plants and peaceful tankmates.,77-85°F,7.0-7.6,3-8 dKH,South America (Amazon Basin),Safe,Mesonauta festivus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Festivum.html,CI17
Cichlid Fire Mouth,Semi-aggressive,"6""",29 Gallon,Slate grey body with a brilliant fiery red throat and chest,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Territorial during breeding but generally peaceful otherwise. Pairs well with similarly sized fish. Plant-safe but may dig near roots.,77-85°F,7.0-7.6,5-12 dKH,Central America,Safe,Thorichthys meeki,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Fire Mouth.html,CI18
Cichlid Green Terror,Aggressive,"8""",75 Gallon,Dark olive green with iridescent blue scales and bright orange tail border,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets","Aggressive, territorial cichlid. Best kept with similarly large, robust fish. May uproot plants — use hardy, anchored species like Anubias or Java fern.",77-82°F,6.8-7.4,5-13 dKH,"South America (Ecuador, Peru)",Caution,Andinoacara rivulatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Green Terror.html,CI21
Cichlid Jack Dempsey,Aggressive,"10""",55 Gallon,Dark purple-black body covered in bright iridescent blue/gold flecks,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Highly territorial and aggressive cichlid. Needs large tank with robust tankmates. Will uproot plants; use Anubias or Java fern tied to decor.,77-82°F,6.8-7.4,5-12 dKH,Central America,Caution,Rocio octofasciata,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Jack Dempsey.html,CI22
Cichlid Jewell Cichlid,Aggressive,"5""",40 Gallon,Blood red body heavily speckled with glowing turquoise dots,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets","Highly aggressive, especially during breeding. Best kept with robust, same-size fish in a large tank. Will destroy delicate plants; use only tough species.",77-82°F,6.8-7.4,4-12 dKH,West Africa,Caution,Hemichromis bimaculatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Jewell Cichlid.html,CI23
Cichlid Kribensis,Semi-aggressive,"4""",29 Gallon,Yellow-green flanks with a dramatic bright pink/purple belly patch,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Dwarf West African cichlid; peaceful outside of breeding. Good in planted tanks. Plants help reduce breeding aggression.,77-85°F,7.0-7.6,4-10 dKH,West Africa (Nigeria),Safe,Pelvicachromis pulcher,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Kribensis.html,CI25
Cichlid Mbuna (Large),"Aggressive, highly territorial","4-6"" (species dependent)",29 Gallon,Varies; often vivid blue/yellow/striped,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets","Keep in large groups with heavy rockwork to diffuse aggression; requires hard, alkaline water and a mostly herbivorous diet",76-82°F,7.8-8.6,10-20 dKH,"Lake Malawi, East Africa","Not safe (herbivorous, eats plants)","Various (Pseudotropheus, Labidochromis, Melanochromis spp.)",https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Mbuna (Large).html,CI28
Cichlid Mbuna (Medium),Aggressive,"5""",55 Gallon,"Assorted vibrant blue, yellow, or striped patterns","Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",African Lake Malawi cichlid; highly aggressive and territorial. Will eat most aquatic plants — use only plastic plants or very tough Anubias.,77-84°F,7.8-8.6,10-18 dKH,Africa (Lake Malawi),Unsafe,Pseudotropheus / Maylandia sp.,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Mbuna (Medium).html,CI27
Cichlid Oscar,Aggressive,"12""",75 Gallon,Dark charcoal body with orange-red marbled patterns,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets","Large, aggressive cichlid growing to 12 inches or more. Digs up plants constantly; live plants generally cannot survive. Use plastic plants or attach Anubias/Java fern to rocks.",77-82°F,6.8-7.4,3-10 dKH,South America (Amazon Basin),Unsafe,Astronotus ocellatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Oscar.html,CI29
Cichlid Oscar Albino,Aggressive,"12""",75 Gallon,Creamy white body with bright orange-red flame marbling,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Albino Oscar — same destructive and aggressive behavior as standard Oscar. Grows to 12 inches or more. Avoid live plants; use plastic or silk alternatives.,77-82°F,6.8-7.4,3-10 dKH,South America (Amazon Basin),Unsafe,Astronotus ocellatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Oscar Albino.html,CI30
Cichlid Oscar Red,Aggressive,"12""",75 Gallon,Solid red-orange body with dark charcoal head and fins,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Red Oscar variant; same temperament and plant-destroying behavior. Grows to 12 inches or more. Use plastic or silk plants only.,77-82°F,6.8-7.4,3-10 dKH,South America (Amazon Basin),Unsafe,Astronotus ocellatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Oscar Red.html,CI31
Cichlid Oscar Tiger,Aggressive,"12""",75 Gallon,Classic dark grey with distinctive orange tiger striping,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Tiger Oscar variant; same aggressive and plant-uprooting behavior. Grows to 12 inches or more. Use plastic or silk plants only.,77-82°F,6.8-7.4,3-10 dKH,South America (Amazon Basin),Unsafe,Astronotus ocellatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Oscar Tiger.html,CI32
Cichlid Parrot Blood,Semi-aggressive,"8""",40 Gallon,Solid uniform hot orange-red body; rounded shape,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets","Large Blood Parrot cichlid hybrid; semi-aggressive. May dig at plant roots — use hardy, well-anchored plants like Anubias or Java fern.",77-82°F,6.8-7.4,4-10 dKH,Captive Hybrid,Caution,Cichlasoma sp. x Amphilophus sp. (Hybrid),https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Parrot Blood.html,CI33
Cichlid Parrot Blood (Large),Semi-aggressive; generally mild for a cichlid,"7-8""",55 Gallon,"Vivid orange-red (""blood red"")","Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Hybrid with a naturally small/deformed mouth; may need smaller food; generally hardy and personable,76-80°F,6.5-7.4,4-12 dKH,"Captive-bred hybrid, no wild origin",Mostly safe,Hybrid cichlid (parentage debated),https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Parrot Blood (Large).html,CI36
Cichlid Parrot Blood (Small),Semi-aggressive; generally mild for a cichlid,"7-8"" at maturity",55 Gallon,"Vivid orange-red (""blood red"")","Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Juvenile of a hybrid cichlid with a naturally small mouth; feed appropriately sized food,76-80°F,6.5-7.4,4-12 dKH,"Captive-bred hybrid, no wild origin",Mostly safe,Hybrid cichlid (parentage debated),https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Parrot Blood (Small).html,CI35
Cichlid Parrot Snow Polar,Semi-aggressive,"4""",40 Gallon,Cream white base with bright blue zebra stripes,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",White variant of Parrot cichlid hybrid; same semi-aggressive temperament. May dig at plant roots; use hardy plants.,77-82°F,6.8-7.4,4-10 dKH,Captive Hybrid,Caution,Cichlasoma sp. x Amphilophus sp. (Hybrid),https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Parrot Snow Polar.html,CI37
Cichlid Pea Puffer Figure 8,Aggressive,"3""",15 Gallon,Dark olive green back with golden yellow figure-8 swirls,"Omnivore. Frozen Bloodworms, Frozen Brine, Sera Flakes, Hikari Vita Bites, Sera Flakes","Feisty, territorial small puffer. May nip fins; best in species tank or with fast-moving tankmates. Will not eat plants.",77-82°F,6.8-7.4,10-18 dKH,Southeast Asia (Brackish),Safe,Tetraodon biocellatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Pea Puffer Figure 8.html,CI38
Cichlid Pea Puffer Spotted,Aggressive,"1""",10 Gallon,Tiny pea-green body with dark iridescent spots,"Omnivore. Frozen Bloodworms, Frozen Brine, Sera Flakes, Hikari Vita Bites, Sera Flakes",Tiny but feisty puffer; curious and nippy. Best in species tank or nano setup with caution. Will not eat plants.,77-82°F,6.8-7.4,4-10 dKH,India (Western Ghats),Safe,Carannotetraodon travancoricus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Pea Puffer Spotted.html,CI39
Cichlid Peacock,Semi-aggressive,"6""",55 Gallon,"Assorted brilliant iridescent blues, reds, and yellows","Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",African Peacock cichlid (Lake Malawi). Semi-aggressive; will eat plants. Use robust decor; avoid live plants or use only tough Anubias.,77-84°F,7.8-8.6,10-18 dKH,Africa (Lake Malawi),Unsafe,Aulonocara sp.,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Peacock.html,CI40
Cichlid Pink Convict,Aggressive,"5""",29 Gallon,Solid pinkish-flesh color; female has orange belly,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets","Highly aggressive, especially breeding pairs. Hardy and tough. Will dig; use robust rooted plants or avoid live plants.",77-85°F,7.0-7.6,6-15 dKH,Central America,Caution,Amatitlania nigrofasciata,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Pink Convict.html,CI41
Cichlid Rainbow (Turquoise),"Peaceful, active schooling","4-4.5""",29 Gallon,Turquoise-blue body,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Keep in schools of 6+; active swimmer needing open space; good peaceful community fish,75-82°F,7.0-8.0,8-15 dKH,"Lake Kutubu, Papua New Guinea",Safe,Melanotaenia lacustris,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Rainbow (Turquoise).html,CI47
Cichlid Red Devil,Aggressive,"12""",55 Gallon,Solid bright orange-red or white/orange patch color,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets","Very aggressive, large cichlid growing to 12 inches or more. Will destroy plants and attack most tankmates. Best kept alone or with equally aggressive species.",77-82°F,6.8-7.4,6-15 dKH,Central America (Nicaragua),Unsafe,Amphilophus labiatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Red Devil.html,CI48
Cichlid Red Head,Semi-aggressive,"10""",40 Gallon,Silver-green body with a brilliant red forehead patch,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets","Red Head cichlid (Geophagus type); generally less aggressive than other large cichlids but may dig. Use robust, rooted plants.",77-82°F,6.8-7.4,4-10 dKH,South America (Colombia),Caution,Geophagus steindachneri,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Red Head.html,CI49
Cichlid Red Terror,Aggressive,"15""",75 Gallon,Golden-green with bold black bars and fiery red accents,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets","Highly aggressive, large Central American cichlid growing to 12 inches or more. Will uproot and destroy plants. Best in species or aggressive-only tanks.",77-82°F,6.8-7.4,5-15 dKH,South America (Ecuador/Peru),Unsafe,Mesoheros festae,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Red Terror.html,CI50
Cichlid Rocket Gar,Aggressive,"12""",55 Gallon,Slender silver body with dark spot at base of tail,"Carnivore/Predator. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites","Predatory, elongated fish. Will eat smaller fish. May disturb plants but not a dedicated plant-eater. Needs large tank.",77-84°F,6.8-7.4,4-12 dKH,South America (Colombia/Venezuela),Caution,Ctenolucius hujeta,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Rocket Gar.html,CI51
Cichlid Severum Gold,Semi-aggressive,"8""",55 Gallon,Bright neon yellow-gold overall with red freckles,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Mild-mannered large cichlid. May nibble soft plants; use hardy species. Generally peaceful with similarly sized fish.,77-82°F,6.8-7.4,3-8 dKH,South America (Amazon Basin),Caution,Heros efasciatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Severum Gold.html,CI19
Cichlid Severum Gold Red Spotted,Semi-aggressive; generally peaceful for a cichlid,"8-10""",55 Gallon,Gold body with red speckling,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Large peaceful cichlid for bigger tanks; omnivorous; appreciates driftwood and planting,76-84°F,6.0-7.5,2-12 dKH,"Amazon basin, South America",Mostly safe (may nibble soft plants),"Heros efasciatus ""Gold""",https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Severum Gold Red Spotted.html,763175H
Cichlid Severum Green,Semi-aggressive,"8""",55 Gallon,Olive green body with vertical dark bars and red eyes,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Mild-mannered large cichlid. May nibble soft plants; use hardy species like Java fern or Anubias. Generally peaceful with similarly sized fish.,77-82°F,6.8-7.4,3-8 dKH,South America (Amazon Basin),Caution,Heros efasciatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Severum Green.html,CI20
Cichlid Severum Spotted Gold,Semi-aggressive; generally peaceful for a cichlid,"8-10""",55 Gallon,Gold body with scattered dark speckling,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets",Large peaceful cichlid for bigger tanks; omnivorous; appreciates driftwood and planting,76-84°F,6.0-7.5,2-12 dKH,"Amazon basin, South America",Mostly safe (may nibble soft plants),"Heros efasciatus ""Gold""",https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Severum Spotted Gold.html,D319476
Cichlid Texas,Aggressive,"12""",55 Gallon,Grey-green body entirely covered in glittering pearl-blue spots,"Omnivore. Frozen Bloodworms, Frozen Brine, Hikari Vibra Bites, Sera Flakes, Hikari Cichlid Pellets","Aggressive, large Texas cichlid growing to 12 inches or more. Will uproot plants and attack tankmates. Avoid live plants entirely.",77-82°F,6.8-7.4,8-15 dKH,North/Central America (Texas/Mexico),Unsafe,Herichthys cyanoguttatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Cichlid Texas.html,CI53
Danio Celestial Pearl,Peaceful,"1""",5 Gallon,Deep midnight blue body with bright gold spots and red fins,"Omnivore. Hikari Vibra Bites,, Hikari Betta Food, Hikari Frozen Bloodworms, Hikari Frozen Brine","Tiny, peaceful nano fish (Galaxy Rasbora). Excellent for planted nano tanks; will not harm plants. Keep in groups of 6 or more.",76-82°F,6.5-7.5,4-10 dKH,"South Asia (India, Myanmar)",Safe,Celestichthys margarita,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Danio Celestial Pearl.html,DA01
Danio Glo,Peaceful,"2""",5 Gallon,"Fluorescent neon green, orange, yellow, or pink stripes","Omnivore. Hikari Vibra Bites,, Hikari Betta Food, Hikari Frozen Bloodworms, Hikari Frozen Brine","GloFish danio; same peaceful, active temperament as Zebra Danio. Plant-safe; keep in schools of 6 or more.",76-82°F,6.5-7.5,4-12 dKH,"South Asia (India, Myanmar)",Safe,Danio rerio,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Danio Glo.html,DA03
Danio Spring Glowlight,Peaceful,"1.5""",5 Gallon,Translucent body with a glowing orange-red spine line,"Omnivore. Hikari Vibra Bites,, Hikari Betta Food, Hikari Frozen Bloodworms, Hikari Frozen Brine",Peaceful schooling danio. Plant-safe and great for community tanks. Keep in schools of 6 or more.,76-82°F,6.5-7.5,4-12 dKH,"South Asia (India, Myanmar)",Safe,Danio rerio,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Danio Spring Glowlight.html,DA04
Danio Zebra,Peaceful,"2""",5 Gallon,Silver-gold body with horizontal navy blue zebra stripes,"Omnivore. Hikari Vibra Bites,, Hikari Betta Food, Hikari Frozen Bloodworms, Hikari Frozen Brine","Hardy, active, peaceful schooling fish. Great beginner fish. Plant-safe. Keep in schools of 6 or more.",76-82°F,6.5-7.5,4-12 dKH,"South Asia (India, Myanmar)",Safe,Danio rerio,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Danio Zebra.html,DA06
Discus Checkerboard (Large),Semi-aggressive,"6""",55 Gallon,White base with an intricate grid pattern of red lines,"Omnivore. Frozen Blood Heart, Hikari Frozen Bloodworms, Sera Discus Granules, VibraBites",Discus are sensitive and need pristine water. Generally peaceful but may be territorial toward same species. Excellent in planted tanks; plants help with water quality.,82-90°F,6.5-7.0,1-4 dKH,South America (Amazon Basin),Safe,Symphysodon discus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Discus Checkerboard (Large).html,DI05
Discus Checkerboard (Medium),Semi-aggressive,"4""",29 Gallon,White base with an intricate grid pattern of red lines,"Omnivore. Frozen Blood Heart, Hikari Frozen Bloodworms, Sera Discus Granules, VibraBites",Discus are sensitive and need pristine water. Generally peaceful but may be territorial toward same species. Excellent in planted tanks; plants help with water quality.,82-90°F,6.5-7.0,1-4 dKH,South America (Amazon Basin),Safe,Symphysodon discus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Discus Checkerboard (Medium).html,DI04
Discus Cobalt (Medium),"Peaceful, semi-shy","6-8""",29 Gallon,Solid vivid blue,"Omnivore. Frozen Blood Heart, Hikari Frozen Bloodworms, Sera Discus Granules, VibraBites","Needs pristine, warm, soft water; sensitive to water quality; keep in groups of 6+ in a tall tank",82-86°F,6.0-7.0,1-8 dKH,"Amazon basin, South America",Safe,"Symphysodon aequifasciatus ""Cobalt""",https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Discus Cobalt (Medium).html,DI06
Discus Cover Red (Large),Semi-aggressive,"6""",55 Gallon,Saturated bright blood red solid body coverage,"Omnivore. Frozen Blood Heart, Hikari Frozen Bloodworms, Sera Discus Granules, VibraBites",Red discus variant; peaceful but somewhat territorial toward own species. Needs pristine water. Planted tanks ideal.,82-90°F,6.5-7.0,1-4 dKH,South America (Amazon Basin),Safe,Symphysodon discus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Discus Cover Red (Large).html,DI09
Discus Cover Red (Medium),Semi-aggressive,"4""",29 Gallon,Saturated bright blood red solid body coverage,"Omnivore. Frozen Blood Heart, Hikari Frozen Bloodworms, Sera Discus Granules, VibraBites",Red discus variant; peaceful but somewhat territorial toward own species. Needs pristine water. Planted tanks ideal.,82-90°F,6.5-7.0,1-4 dKH,South America (Amazon Basin),Safe,Symphysodon discus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Discus Cover Red (Medium).html,DI08
Discus Diamond Blue (Large),Semi-aggressive,"6""",55 Gallon,Brilliant solid high-sheen solid sky blue,"Omnivore. Frozen Blood Heart, Hikari Frozen Bloodworms, Sera Discus Granules, VibraBites",Diamond discus; same care requirements. Planted tanks beneficial. Sensitive to water quality.,82-90°F,6.5-7.0,1-4 dKH,South America (Amazon Basin),Safe,Symphysodon discus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Discus Diamond Blue (Large).html,DI11
Discus Diamond Blue (Medium),Semi-aggressive,"4""",29 Gallon,Brilliant solid high-sheen solid sky blue,"Omnivore. Frozen Blood Heart, Hikari Frozen Bloodworms, Sera Discus Granules, VibraBites",Diamond discus; same care requirements. Planted tanks beneficial. Sensitive to water quality.,82-90°F,6.5-7.0,1-4 dKH,South America (Amazon Basin),Safe,Symphysodon discus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Discus Diamond Blue (Medium).html,DI10
Discus Golden Phoenix (Large),Semi-aggressive,"6""",55 Gallon,Solid clear canary yellow-gold with pristine white halo,"Omnivore. Frozen Blood Heart, Hikari Frozen Bloodworms, Sera Discus Granules, VibraBites",Golden Phoenix discus variant; same temperament and care requirements. Pristine water essential. Planted tanks ideal.,82-90°F,6.5-7.0,1-4 dKH,South America (Amazon Basin),Safe,Symphysodon discus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Discus Golden Phoenix (Large).html,DI13
Discus Golden Phoenix (Medium),Semi-aggressive,"4""",29 Gallon,Solid clear canary yellow-gold with pristine white halo,"Omnivore. Frozen Blood Heart, Hikari Frozen Bloodworms, Sera Discus Granules, VibraBites",Golden Phoenix discus variant; same temperament and care requirements. Pristine water essential. Planted tanks ideal.,82-90°F,6.5-7.0,1-4 dKH,South America (Amazon Basin),Safe,Symphysodon discus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Discus Golden Phoenix (Medium).html,DI12
Discus Leopard (Large),Semi-aggressive,"6""",55 Gallon,Light blue base covered in fine red leopard polka-dots,"Omnivore. Frozen Blood Heart, Hikari Frozen Bloodworms, Sera Discus Granules, VibraBites","Leopard discus; same care and behavior as standard discus. Pristine, warm, soft water required. Excellent in planted tanks.",82-90°F,6.5-7.0,1-4 dKH,South America (Amazon Basin),Safe,Symphysodon discus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Discus Leopard (Large).html,DI15
Discus Leopard (Medium),Semi-aggressive,"4""",29 Gallon,Light blue base covered in fine red leopard polka-dots,"Omnivore. Frozen Blood Heart, Hikari Frozen Bloodworms, Sera Discus Granules, VibraBites","Leopard discus; same care and behavior as standard discus. Pristine, warm, soft water required. Excellent in planted tanks.",82-90°F,6.5-7.0,1-4 dKH,South America (Amazon Basin),Safe,Symphysodon discus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Discus Leopard (Medium).html,DI14
Discus Melon Red (Large),Semi-aggressive,"6""",55 Gallon,Solid brilliant sunset orange-red with a white face,"Omnivore. Frozen Blood Heart, Hikari Frozen Bloodworms, Sera Discus Granules, VibraBites",Melon Red discus variant; same peaceful but territorial temperament. Pristine water essential. Planted tanks ideal.,82-90°F,6.5-7.0,1-4 dKH,South America (Amazon Basin),Safe,Symphysodon discus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Discus Melon Red (Large).html,DI17
Discus Melon Red (Medium),Semi-aggressive,"4""",29 Gallon,Solid brilliant sunset orange-red with a white face,"Omnivore. Frozen Blood Heart, Hikari Frozen Bloodworms, Sera Discus Granules, VibraBites",Melon Red discus variant; same peaceful but territorial temperament. Pristine water essential. Planted tanks ideal.,82-90°F,6.5-7.0,1-4 dKH,South America (Amazon Basin),Safe,Symphysodon discus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Discus Melon Red (Medium).html,DI16
Discus Melon Yellow (Large),Semi-aggressive,"6""",55 Gallon,Solid un-barred bright pastel lemon yellow,"Omnivore. Frozen Blood Heart, Hikari Frozen Bloodworms, Sera Discus Granules, VibraBites",Melon Yellow discus; same care requirements as all discus. Sensitive to water quality. Excellent in planted tanks.,82-90°F,6.5-7.0,1-4 dKH,South America (Amazon Basin),Safe,Symphysodon discus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Discus Melon Yellow (Large).html,DI19
